2024/10/06 14:10:52 [error] 16360#19976: *4176 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:10:52 [error] 16360#19976: *4175 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:10:52 [error] 16360#19976: *4175 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:10:52 [error] 16360#19976: *4176 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:01 [error] 16360#19976: *4193 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/orders?page=1&per_page=1&status%5B0%5D=processing&status%5B1%5D=on-hold&_fields%5B0%5D=id&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:01 [error] 16360#19976: *4192 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/products/reviews?page=1&per_page=1&status=hold&_embed=1&_fields%5B0%5D=id&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:01 [error] 16360#19976: *4194 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/products/count-low-in-stock?status=publish&page=1&per_page=1&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:01 [error] 16360#19976: *4195 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=5&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:01 [error] 16360#19976: *4193 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=100&status=unactioned&type%5B0%5D=info&type%5B1%5D=marketing&type%5B2%5D=survey&type%5B3%5D=warning&orderby=date&order=desc&_fields%5B0%5D=id&_fields%5B1%5D=name&_fields%5B2%5D=title&_fields%5B3%5D=content&_fields%5B4%5D=type&_fields%5B5%5D=status&_fields%5B6%5D=actions&_fields%5B7%5D=date_created&_fields%5B8%5D=date_created_gmt&_fields%5B9%5D=layout&_fields%5B10%5D=image&_fields%5B11%5D=is_deleted&_fields%5B12%5D=is_read&_fields%5B13%5D=locale&is_read=false&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:02 [error] 16360#19976: *4193 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/onboarding/profile?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fwc-pay-welcome-page"
2024/10/06 14:11:04 [error] 16360#19976: *4198 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc/private/patterns?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/admin.php?page=wc-admin&path=%2Fcustomize-store"
